SalesOrderID,SalesOrderDetailID,OrderQty,UnitPriceWithDiscount,UnitPrice,UnitPriceDiscount,LineTotal,ProductID,productName,StandardCost,ListPrice,productCategoryName,CompanyName,ShipMethod,DueDate,shipToAddressCity,sucursal
999990,999990,12,356.90,356.90,0.00,0,836,"ML Road Frame-W - Yellow, 48",360.94,594.83,NULL,NULL,NULL,01/07/2021 00:00,Auburn,Sucursal 2
999991,999991,7,356.90,356.90,0.00,0,822,"ML Road Frame-W - Yellow, 38",360.94,594.83,NULL,NULL,NULL,01/07/2021 00:00,Auburn,Sucursal 2
999992,999992,8,63.90,63.90,0.00,0,907,Rear Brakes,47.29,106.50,NULL,NULL,NULL,01/07/2021 00:00,Wokingham,Sucursal 2
999993,999993,12,125.60,125.60,0.00,0,522,mochila,230.50,233.20,NULL,NULL,NULL,01/07/2021 00:00,Wokingham,Sucursal 2
999994,999994,5,250.70,250.70,0.00,0,603,cuaderno,465.20,153.50,NULL,NULL,NULL,01/07/2021 00:00,Wokingham,Sucursal 2
999995,999995,4,180.60,180.60,0.00,0,420,ssd,123.40,163.47,NULL,NULL,NULL,01/07/2021 00:00,Wokingham,Sucursal 2
999996,999996,9,280.90,280.90,0.00,0,133,powerade,456.20,345.52,NULL,NULL,NULL,01/07/2021 00:00,Wokingham,Sucursal 2
999997,999997,7,320.20,320.20,0.00,0,789,mouse,321.25,632.50,NULL,NULL,NULL,01/07/2021 00:00,Wokingham,Sucursal 2
999998,999998,6,214.80,214.80,0.00,0,515,teclado,654.45,132.40,NULL,NULL,NULL,01/07/2021 00:00,Wokingham,Sucursal 2
999999,999999,3,34.60,34.60,0.00,0,479,tenis,154.20,533.87,NULL,NULL,NULL,01/07/2021 00:00,Wokingham,Sucursal 2
